Suuryritys sijoittaa rahaa tuotantovälineisiin|ja palkkaa itselleen tarvitsemansa määrän työvoimaa.|0|1
Shakin syntylegenda ei kerro, palkittiinko ministeri muulla tavoin|vai menettikö hän päänsä.|0|1
Arkisin ravintolassa käy paljon väkeä|mutta nyt korona-aikaan se on ollut hiljainen.|1|1
Työelämässä korostuvat yhä enemmän sosiaaliset taidot|ja oppimiskyky on aivan keskeinen.|1|1
He menivät yliopiston kirjastoon aamulla|ja siirtyivät iltapäivästä Unisportin puolelle.|0|1
Ilmastonmuutos huolettaa nuorisoa|eivätkä he pidä vanhojen tapojen jatkamista vaihtoehtona.|1|1
Milleniaaleja johdetaan valmentavalla otteella|ja johtajan on ansaittava auktoriteettinsa.|1|1
Voimme päättää vain siitä|mitä teemme sillä ajalla, joka meille annetaan.|1|2
Varsinainen hupi alkaa kuitenkin vasta sitten|kun suojelusenkeli yrittää saada jonoa kääntymään sivusuuntaan.|1|2
Tiedättekö|onko huomiseksi luvassa sadetta?|1|2
Pelin kannalta on yksinkertaisempaa|jos pelaajien esittämät henkilöt esiintyvät tarinassakin joukkona.|1|2
Palvelumaksujen osalta kannattaa pitää mielessä|että asiakkaat voivat käyttää toistakin pankkia.|1|2
Pian metsästä kaartuu joelle tie|joka näyttäisi jatkuvan virran toisellakin puolen.|1|2
Lisäämällä omia ideoitani käsien ojennuksiin|tuon tanssiin jotain omaani.|0|3
Elämä on|kuin matka.|0|3
Korttien arvojärjestys on numeroarvon mukainen|ässän ollessa ensimmäisenä.|0|3
Asetuttuaan aloilleen|opettaja oli ottanut tavakseen kävellä illalla korttelinsa ympäri kahdesti.|0|3
Ohjelmistotekniikan kurssi on mukavampi|kuin olisin osannut kuvitella!|0|3
